panel_group	source	database_id	pathway_name	biological_domain	reason_for_inclusion	redundancy_note	geneset_size
ORIGINAL_10	KEGG	hsa05216	Thyroid cancer	Oncogenesis (thyroid)	Pré-especificado no desenho original do projeto (painel a priori)	—	37
ORIGINAL_10	KEGG	hsa04919	Thyroid hormone signaling	Hormone signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	122
ORIGINAL_10	KEGG	hsa04010	MAPK signaling pathway	Growth factor signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	301
ORIGINAL_10	KEGG	hsa04151	PI3K-Akt signaling pathway	Growth factor signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	362
ORIGINAL_10	KEGG	hsa04150	mTOR signaling pathway	Nutrient signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	158
ORIGINAL_10	KEGG	hsa04115	p53 signaling pathway	Tumor suppression	Pré-especificado no desenho original do projeto (painel a priori)	—	75
ORIGINAL_10	KEGG	hsa04210	Apoptosis	Cell death	Pré-especificado no desenho original do projeto (painel a priori)	—	138
ORIGINAL_10	KEGG	hsa04110	Cell cycle	Cell proliferation	Pré-especificado no desenho original do projeto (painel a priori)	—	158
ORIGINAL_10	KEGG	hsa04310	Wnt signaling pathway	Developmental signaling	Pré-especificado no desenho original do projeto (painel a priori)	—	178
ORIGINAL_10	KEGG	hsa04064	NF-kappa B signaling pathway	Inflammation/immune	Pré-especificado no desenho original do projeto (painel a priori)	—	105
ADDITIONAL_20	KEGG	hsa04510	Focal adhesion	Cell-matrix / adhesion	Medeia adesão célula-matriz e sinalização por integrinas; eixo central de invasão/migração tumoral	Relacionada a ECM-receptor e ECM organization, mas representa o braço de sinalização	203
ADDITIONAL_20	KEGG	hsa04512	ECM-receptor interaction	ECM / adhesion	Receptores de matriz (integrinas/colágeno) governam interação tumor-microambiente	Relacionada a Focal adhesion, mas representa o braço de receptores estruturais	89
ADDITIONAL_20	Reactome	R-HSA-1474244	Extracellular matrix organization	ECM / collagen remodeling	Biossíntese/remodelamento de colágeno e matriz; complementa as vias de sinalização de adesão com o componente estrutural	Relacionada a Focal adhesion/ECM-receptor, mas representa remodelamento estrutural de colágeno	321
ADDITIONAL_20	KEGG	hsa04350	TGF-beta signaling pathway	EMT / TGF-beta	Indutor canônico de EMT e imunossupressão no microambiente tumoral	Distinta das vias de crescimento; converge com EMT	110
ADDITIONAL_20	KEGG	hsa04390	Hippo signaling pathway	Tissue growth control	Regula tamanho de órgão e supressão tumoral (YAP/TAZ); mecanismo distinto das vias de crescimento originais	Complementar a Wnt (original); eixo YAP/TAZ distinto	157
ADDITIONAL_20	KEGG	hsa04630	JAK-STAT signaling pathway	Cytokine signaling	Transdução de citocinas com papel em inflamação e imunidade antitumoral	Distinta de MAPK/PI3K; via própria de citocinas	168
ADDITIONAL_20	KEGG	hsa04668	TNF signaling pathway	Inflammation / TNF	Inflamação crônica e sobrevivência/apoptose mediada por TNF no microambiente	Distinta de NF-kB original embora relacionada; foco em TNF	119
ADDITIONAL_20	KEGG	hsa04657	IL-17 signaling pathway	Inflammation / IL-17	Eixo pró-inflamatório distinto do TNF, relevante para inflamação tecidual	Distinta de TNF e NF-kB; eixo Th17	94
